LiftID,Lake,Agency,Location,Latitude,Longitude,STATD,Model_unit,Grid,Year,Month,Day,SurveyType,SurveyType2,SurveyDescription,Gear,Nights,NetLength(km),Depth1(m),Depth2(m),AvgDepth(m),SurfaceTemp(C),BottomTemp(C),NetMaterial,MinMesh(mm),MaxMesh(mm),Comments
MIDNR_1985-9051,MICHIGAN,MIDNR,,,,MM-3,NORTH,217,1985,9,23,,,,,,,,,,0,0,,,,
MIDNR_1985-9052,MICHIGAN,MIDNR,,,,MM-3,NORTH,116,1985,10,4,,,,,,,,,,0,0,,,,
MIDNR_1985-9053,MICHIGAN,MIDNR,,,,MM-3,NORTH,117,1985,10,11,,,,,,,,,,0,0,,,,
MIDNR_1985-9054,MICHIGAN,MIDNR,,,,MM-7,SOUTH,1810,1985,9,21,,,,,,,,,,0,0,,,,
MIDNR_1985-9055,MICHIGAN,MIDNR,,,,MM-7,SOUTH,1810,1985,10,24,,,,,,,,,,0,0,,,,
MIDNR_1986-1,MICHIGAN,MIDNR,,,,MM-7,SOUTH,,1986,4,1,,,,,1,1.463039953,22.85999927,32.00399898,,0,0,,25.4,25.4,
MIDNR_1986-10,MICHIGAN,MIDNR,,,,MM-5,NORTH,,1986,4,23,,,,,1,1.463039953,18.28799942,74.9807976,,0,0,,25.4,25.4,
MIDNR_1986-1004,MICHIGAN,MIDNR,,,,MM-7,SOUTH,,1986,4,8,,,,,0,,54.86399824,73.15199766,,0,0,,25.4,25.4,
MIDNR_1986-11,MICHIGAN,MIDNR,,,,MM-5,NORTH,,1986,4,23,,,,,0,,18.28799942,54.86399824,,0,0,,25.4,25.4,
MIDNR_1986-12,MICHIGAN,MIDNR,,,,MM-5,NORTH,,1986,4,25,,,,,0,,54.86399824,91.43999707,,0,0,,25.4,25.4,
MIDNR_1986-13,MICHIGAN,MIDNR,,,,MM-5,NORTH,,1986,4,28,,,,,1,2.19455993,27.43199912,56.3879982,,0,0,,25.4,25.4,
MIDNR_1986-14,MICHIGAN,MIDNR,,,,MM-5,NORTH,,1986,4,30,,,,,0,,18.28799942,88.69679716,,0,0,,25.4,25.4,
MIDNR_1986-15,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,5,5,,,,,1,1.463039953,67.05599785,44.19599859,,0,0,,25.4,25.4,
MIDNR_1986-16,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,5,6,,,,,1,2.926079906,34.13759891,56.69279819,,0,0,,25.4,25.4,
MIDNR_1986-17,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,5,7,,,,,1,2.926079906,9.143999707,53.33999829,,0,0,,25.4,25.4,
MIDNR_1986-18,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,5,8,,,,,1,2.926079906,3.657599883,83.81999732,,0,0,,25.4,25.4,
MIDNR_1986-19,MICHIGAN,MIDNR,,,,MM-4,NORTH,,1986,6,2,,,,,1,2.926079906,3.047999903,73.15199766,,0,0,,25.4,25.4,
MIDNR_1986-2,MICHIGAN,MIDNR,,,,MM-7,SOUTH,,1986,4,1,,,,,0,,18.28799942,54.86399824,,0,0,,25.4,25.4,
MIDNR_1986-20,MICHIGAN,MIDNR,,,,MM-4,NORTH,,1986,6,2,,,,,1,0.182879994,,1.523999951,,0,0,,114.3,114.3,
MIDNR_1986-2004,MICHIGAN,MIDNR,,,,MM-7,SOUTH,,1986,4,8,,,,,0,,73.15199766,91.43999707,,0,0,,25.4,25.4,
MIDNR_1986-21,MICHIGAN,MIDNR,,,,MM-4,NORTH,,1986,6,3,,,,,1,2.926079906,3.047999903,60.95999805,,0,0,,25.4,25.4,
MIDNR_1986-22,MICHIGAN,MIDNR,,,,MM-4,NORTH,,1986,6,4,,,,,1,0.182879994,1.523999951,6.095999805,,0,0,,114.3,114.3,
MIDNR_1986-23,MICHIGAN,MIDNR,,,,MM-4,NORTH,,1986,6,4,,,,,1,2.926079906,18.28799942,48.76799844,,0,0,,25.4,25.4,
MIDNR_1986-24,MICHIGAN,MIDNR,,,,MM-4,NORTH,,1986,6,5,,,,,1,2.926079906,9.143999707,64.00799795,,0,0,,25.4,25.4,
MIDNR_1986-25,MICHIGAN,MIDNR,,,,MM-4,NORTH,,1986,6,9,,,,,1,2.926079906,3.047999903,73.15199766,,0,0,,25.4,25.4,
MIDNR_1986-26,MICHIGAN,MIDNR,,,,MM-4,NORTH,,1986,6,9,,,,,1,0.365759988,3.047999903,73.15199766,,0,0,,114.3,114.3,
MIDNR_1986-27,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,9,11,,,,,0,,21.33599932,,,0,0,,25.4,25.4,
MIDNR_1986-28,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,9,11,,,,,0,,21.33599932,79.55279745,,0,0,,25.4,25.4,
MIDNR_1986-29,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,9,11,,,,,0,,24.38399922,30.47999903,,0,0,,25.4,25.4,
MIDNR_1986-3,MICHIGAN,MIDNR,,,,MM-7,SOUTH,,1986,4,3,,,,,1,1.463039953,27.43199912,37.18559881,,0,0,,25.4,25.4,
MIDNR_1986-30,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,9,19,BTL,,,,0,,15.84959949,17.06879945,,0,0,,25.4,25.4,
MIDNR_1986-31,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,9,19,,,,,0,,18.8975994,21.64079931,,0,0,,25.4,25.4,
MIDNR_1986-32,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,9,23,,,,,0,,14.32559954,62.483998,,0,0,,25.4,25.4,
MIDNR_1986-33,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,9,24,,,,,0,,16.76399946,,,0,0,,25.4,25.4,
MIDNR_1986-34,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,9,24,,,,,0,,35.05199888,81.99119738,,0,0,,25.4,25.4,
MIDNR_1986-35,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,9,24,,,,,0,,35.05199888,70.71359774,,0,0,,25.4,25.4,
MIDNR_1986-36,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,9,24,,,,,0,,73.15199766,85.34399727,,0,0,,25.4,25.4,
MIDNR_1986-37,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,9,25,,,,,0,,60.95999805,79.55279745,,0,0,,25.4,25.4,
MIDNR_1986-38,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,9,30,,,,,0,,10.97279965,39.01439875,,0,0,,25.4,25.4,
MIDNR_1986-39,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,9,30,,,,,0,,8.229599737,42.36719864,,0,0,,25.4,25.4,
MIDNR_1986-40,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,9,30,,,,,0,,9.143999707,78.0287975,,0,0,,25.4,25.4,
MIDNR_1986-41,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,9,30,,,,,0,,10.66799966,53.33999829,,0,0,,25.4,25.4,
MIDNR_1986-42,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,10,1,,,,,0,,18.28799942,15.23999951,,0,0,,25.4,25.4,
MIDNR_1986-43,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,10,1,,,,,0,,24.38399922,,,0,0,,25.4,25.4,
MIDNR_1986-44,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,10,1,,,,,0,,54.86399824,74.06639763,,0,0,,25.4,25.4,
MIDNR_1986-45,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,10,1,,,,,0,,21.33599932,78.63839748,,0,0,,25.4,25.4,
MIDNR_1986-46,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,10,1,,,,,0,,18.28799942,79.55279745,,0,0,,25.4,25.4,
MIDNR_1986-47,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,10,2,,,,,0,,24.38399922,77.72399751,,0,0,,25.4,25.4,
MIDNR_1986-48,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,10,2,,,,,0,,18.28799942,83.21039734,,0,0,,25.4,25.4,
MIDNR_1986-49,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,10,2,,,,,0,,60.95999805,87.4775972,,0,0,,25.4,25.4,
MIDNR_1986-5,MICHIGAN,MIDNR,,,,MM-6,NORTH,,1986,4,14,,,,,1,2.19455993,18.28799942,53.33999829,,0,0,,25.4,25.4,
MIDNR_1986-50,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,10,2,,,,,0,,53.33999829,77.11439753,,0,0,,25.4,25.4,
MIDNR_1986-5001,MICHIGAN,MIDNR,,,,,,,1986,5,7,,,,,,3.352799893,74.9807976,102.4127967,,0,0,,65.1002,66.04,
MIDNR_1986-5002,MICHIGAN,MIDNR,,,,,,,1986,5,12,,,,,,3.657599883,73.15199766,109.7279965,,0,0,,65.1002,66.04,
MIDNR_1986-5007,MICHIGAN,MIDNR,,,,,,,1986,6,26,,,,,,4.267199863,82.29599737,91.43999707,,0,0,,63.5,63.5,
MIDNR_1986-5010,MICHIGAN,MIDNR,,,,,,,1986,8,7,,,,,,2.438399922,96.01199693,103.6319967,,0,0,,63.5,63.5,
MIDNR_1986-5011,MICHIGAN,MIDNR,,,,,,,1986,7,3,,,,,,3.352799893,74.9807976,157.276795,,0,0,,65.1002,63.5,
MIDNR_1986-5012,MICHIGAN,MIDNR,,,,,,,1986,7,7,,,,,,3.657599883,73.15199766,118.8719962,,0,0,,65.1002,63.5,
MIDNR_1986-5013,MICHIGAN,MIDNR,,,,,,,1986,9,30,,,,,,3.657599883,73.15199766,109.7279965,,0,0,,,,
MIDNR_1986-5014,MICHIGAN,MIDNR,,,,,,,1986,10,2,,,,,,3.047999903,76.80959754,131.6735958,,0,0,,63.5,63.5,
MIDNR_1986-5015,MICHIGAN,MIDNR,,,,,,,1986,5,11,,,,,,2.438399922,12.19199961,18.28799942,,0,0,,,,
MIDNR_1986-51,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,10,3,,,,,0,,3.047999903,46.9391985,,0,0,,25.4,25.4,
MIDNR_1986-52,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,10,17,,,,,0,,39.62399873,46.32959852,,0,0,,25.4,25.4,
MIDNR_1986-53,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,10,21,,,,,0,,48.76799844,44.50079858,,0,0,,25.4,25.4,
MIDNR_1986-54,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,10,21,,,,,0,,24.68879921,25.29839919,,0,0,,25.4,25.4,
MIDNR_1986-55,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,10,21,,,,,0,,44.80559857,47.85359847,,0,0,,25.4,25.4,
MIDNR_1986-56,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,10,22,,,,,0,,34.13759891,35.66159886,,0,0,,25.4,25.4,
MIDNR_1986-57,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,10,23,,,,,0,,24.38399922,49.07279843,,0,0,,25.4,25.4,
MIDNR_1986-58,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,10,23,,,,,0,,30.47999903,,,0,0,,25.4,25.4,
MIDNR_1986-59,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,10,23,,,,,0,,48.76799844,58.52159813,,0,0,,25.4,25.4,
MIDNR_1986-6,MICHIGAN,MIDNR,,,,MM-6,NORTH,,1986,4,15,,,,,1,2.19455993,36.57599883,55.77839822,,0,0,,25.4,25.4,
MIDNR_1986-60,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,10,23,,,,,0,,45.11039856,39.31919874,,0,0,,25.4,25.4,
MIDNR_1986-61,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,10,24,,,,,0,,30.47999903,52.42559832,,0,0,,25.4,25.4,
MIDNR_1986-62,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,10,24,,,,,0,,45.71999854,59.74079809,,0,0,,25.4,25.4,
MIDNR_1986-63,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,10,24,,,,,0,,48.76799844,67.05599785,,0,0,,25.4,25.4,
MIDNR_1986-64,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,11,5,,,,,0,,18.28799942,50.29199839,,0,0,,25.4,25.4,
MIDNR_1986-65,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,11,5,,,,,0,,30.47999903,44.19599859,,0,0,,25.4,25.4,
MIDNR_1986-66,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,11,5,,,,,0,,28.95599907,24.38399922,,0,0,,25.4,25.4,
MIDNR_1986-67,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1986,11,5,,,,,0,,72.54239768,77.41919752,,0,0,,25.4,25.4,
MIDNR_1986-7,MICHIGAN,MIDNR,,,,MM-6,NORTH,,1986,4,16,,,,,1,1.463039953,36.57599883,49.07279843,,0,0,,25.4,25.4,
MIDNR_1986-8,MICHIGAN,MIDNR,,,,MM-6,NORTH,,1986,4,18,BTL,,,,0,,73.15199766,91.43999707,,0,0,,25.4,25.4,
MIDNR_1986-9,MICHIGAN,MIDNR,,,,MM-5,NORTH,,1986,4,22,,,,,1,0.670559979,18.28799942,73.15199766,,0,0,,25.4,25.4,
MIDNR_1986-9001,MICHIGAN,MIDNR,,,,,,,1986,1,23,,,,,,,,,,0,0,,,,
MIDNR_1986-9002,MICHIGAN,MIDNR,,,,,,,1986,1,28,,,,,,,,,,0,0,,,,
MIDNR_1986-9003,MICHIGAN,MIDNR,,,,,,,1986,2,26,,,,,,,,,,0,0,,,,
MIDNR_1986-9004,MICHIGAN,MIDNR,,,,,,,1986,2,27,,,,,,,,,,0,0,,,,
MIDNR_1986-9005,MICHIGAN,MIDNR,,,,,,,1986,3,6,,,,,,,,,,0,0,,,,
MIDNR_1986-9006,MICHIGAN,MIDNR,,,,,,,1986,5,8,,,,,,,,,,0,0,,,,
MIDNR_1986-9007,MICHIGAN,MIDNR,,,,,,,1986,5,14,,,,,,,,,,0,0,,,,
MIDNR_1986-9008,MICHIGAN,MIDNR,,,,,,,1986,5,22,,,,,,,,,,0,0,,,,
MIDNR_1986-9009,MICHIGAN,MIDNR,,,,,,,1986,5,29,,,,,,,,,,0,0,,,,
MIDNR_1986-9010,MICHIGAN,MIDNR,,,,,,,1986,6,20,,,,,,,,,,0,0,,,,
MIDNR_1986-9011,MICHIGAN,MIDNR,,,,,,,1986,7,22,,,,,,,,,,0,0,,,,
MIDNR_1986-9012,MICHIGAN,MIDNR,,,,,,,1986,7,3,,,,,,,,,,0,0,,,,
MIDNR_1986-9013,MICHIGAN,MIDNR,,,,,,,1986,7,9,,,,,,,,,,0,0,,,,
MIDNR_1986-9014,MICHIGAN,MIDNR,,,,,,,1986,7,10,,,,,,,,,,0,0,,,,
MIDNR_1986-9015,MICHIGAN,MIDNR,,,,,,,1986,7,16,,,,,,,,,,0,0,,,,
MIDNR_1986-9016,MICHIGAN,MIDNR,,,,,,,1986,5,8,,,,,,,,,,0,0,,4.6,,
MIDNR_1986-9017,MICHIGAN,MIDNR,,,,,,,1986,5,22,,,,,,,,,,0,0,,4.5,,
MIDNR_1986-9018,MICHIGAN,MIDNR,,,,,,,1986,5,23,,,,,,,,,,0,0,,4.6,,
MIDNR_1986-9019,MICHIGAN,MIDNR,,,,,,,1986,5,28,,,,,,,,,,0,0,,4.6,,
MIDNR_1986-9020,MICHIGAN,MIDNR,,,,,,,1986,6,4,,,,,,,,,,0,0,,4.5,,
MIDNR_1986-9021,MICHIGAN,MIDNR,,,,,,,1986,6,13,,,,,,,,,,0,0,,4.5,,
MIDNR_1986-9022,MICHIGAN,MIDNR,,,,,,,1986,7,18,,,,,,,,,,0,0,,4.6,,
MIDNR_1986-9023,MICHIGAN,MIDNR,,,,,,,1986,7,21,,,,,,,,,,0,0,,4.6,,
MIDNR_1986-9024,MICHIGAN,MIDNR,,,,,,,1986,7,25,,,,,,,,,,0,0,,4.6,,
MIDNR_1986-9025,MICHIGAN,MIDNR,,,,,,,1986,7,25,,,,,,,,,,0,0,,4.6,,
MIDNR_1986-9026,MICHIGAN,MIDNR,,,,,,,1986,7,31,,,,,,,,,,0,0,,4.6,,
MIDNR_1986-9027,MICHIGAN,MIDNR,,,,,,,1986,8,1,,,,,,,,,,0,0,,4.6,,
MIDNR_1986-9028,MICHIGAN,MIDNR,,,,,,,1986,5,14,,,,,,,,,,0,0,,,,
MIDNR_1986-9029,MICHIGAN,MIDNR,,,,,,,1986,5,24,,,,,,,,,,0,0,,,,
MIDNR_1986-9030,MICHIGAN,MIDNR,,,,,,,1986,5,31,,,,,,,,,,0,0,,,,
MIDNR_1986-9031,MICHIGAN,MIDNR,,,,,,,1986,7,8,,,,,,,,,,0,0,,,,
MIDNR_1986-9032,MICHIGAN,MIDNR,,,,,,,1986,7,15,,,,,,,,,,0,0,,,,
MIDNR_1986-9033,MICHIGAN,MIDNR,,,,,,,1986,7,22,,,,,,,,,,0,0,,,,
MIDNR_1986-9034,MICHIGAN,MIDNR,,,,,,,1986,8,9,,,,,,,,,,0,0,,,,
MIDNR_1986-9035,MICHIGAN,MIDNR,,,,,,,1986,8,18,,,,,,,,,,0,0,,,,
MIDNR_1986-9036,MICHIGAN,MIDNR,,,,,,,1986,10,17,,,,,,,,,,0,0,,,,
MIDNR_1986-9037,MICHIGAN,MIDNR,,,,,,,1986,10,23,,,,,,,,,,0,0,,,,
MIDNR_1986-9038,MICHIGAN,MIDNR,,,,,,,1986,9,19,,,,,,,,,,0,0,,4.5,,
MIDNR_1986-9039,MICHIGAN,MIDNR,,,,,,,1986,10,16,,,,,,,,,,0,0,,4.5,,
MIDNR_1986-9040,MICHIGAN,MIDNR,,,,,,,1986,10,17,,,,,,,,,,0,0,,4.5,,
MIDNR_1986-9041,MICHIGAN,MIDNR,,,,,,,1986,10,27,,,,,,,,,,0,0,,4.5,,
MIDNR_1986-9042,MICHIGAN,MIDNR,,,,,,,1986,10,30,,,,,,,,,,0,0,,4.5,,
MIDNR_1986-9066,MICHIGAN,MIDNR,,,,,,,1986,5,8,,,,,,,,,,0,0,,4.6,,
MIDNR_1987-1,MICHIGAN,MIDNR,,,,MM-7,SOUTH,,1987,4,7,,,,,1,2.19455993,,,,0,0,,25.4,25.4,
MIDNR_1987-10,MICHIGAN,MIDNR,,,,MM-5,NORTH,,1987,4,23,,,,,1,2.19455993,,,,0,0,,25.4,25.4,
MIDNR_1987-11,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1987,4,27,,,,,1,2.926079906,,,,0,0,,25.4,25.4,
MIDNR_1987-12,MICHIGAN,MIDNR,,,,,,,1987,4,2,,,,,1,2.926079906,,,,0,0,,25.4,25.4,
MIDNR_1987-13,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1987,5,4,,,,,1,2.926079906,,,,0,0,,25.4,25.4,
MIDNR_1987-14,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1987,5,5,,,,,1,2.926079906,,,,0,0,,25.4,25.4,
MIDNR_1987-15,MICHIGAN,MIDNR,,,,MM-4,NORTH,,1987,6,1,,,,,1,2.926079906,,,,0,0,,25.4,25.4,
MIDNR_1987-16,MICHIGAN,MIDNR,,,,MM-4,NORTH,,1987,6,2,,,,,1,2.926079906,,,,0,0,,25.4,25.4,
MIDNR_1987-17,MICHIGAN,MIDNR,,,,MM-4,NORTH,,1987,6,3,,,,,1,2.19455993,,,,0,0,,,1,
MIDNR_1987-18,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1987,6,8,,,,,1,2.926079906,,,,0,0,,,1,
MIDNR_1987-19,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1987,6,9,,,,,1,2.926079906,,,,0,0,,,1,
MIDNR_1987-2,MICHIGAN,MIDNR,,,,MM-6,NORTH,,1987,4,8,,,,,1,1.463039953,,,,0,0,,25.4,25.4,
MIDNR_1987-20,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1987,8,5,,,,,1,1.463039953,,,,0,0,,,1,
MIDNR_1987-21,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1987,9,22,,,,,0,0.0064008,,,,0,0,,25.4,25.4,
MIDNR_1987-22,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1987,9,22,,,,,0,0.0067056,,,,0,0,,25.4,25.4,
MIDNR_1987-23,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1987,9,22,,,,,0,0.0070104,,,,0,0,,25.4,25.4,
MIDNR_1987-24,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1987,9,22,,,,,0,0.0073152,,,,0,0,,25.4,25.4,
MIDNR_1987-25,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1987,9,22,,,,,0,0.00762,,,,0,0,,,,
MIDNR_1987-26,MICHIGAN,MIDNR,,,,MM-3,NORTH,,1987,9,22,,,,,0,0.0079248,,,,0,0,,,,
